Representative Name,Product,State,Sale Amount,Quarter
Georgie West,401k,Florida,7450.81,Q2
Josephine Bowen,snake,Massachusetts,4.87,Q2
Richard Logan,beanie baby,Florida,2585.06,Q2
Irene Webster,401k,Florida,9672.82,Q2
Charlotte Bryan,snake,Texas,9375.39,Q2
Emily Gardner,401k,New York,670.33,Q2
Ian Miller,401k,California,6938.98,Q2
Richard Logan,homeopathic remedy,Florida,729.14,Q2
Ivan Moore,homeopathic remedy,California,7521.69,Q2
Nannie Clarke,watermelon,Massachusetts,1042.43,Q2
Jason Park,snake,Texas,9051.16,Q2
Kenneth Hamilton,homeopathic remedy,Texas,2747.62,Q2
Ian Miller,homeopathic remedy,Massachusetts,6456.11,Q2
Winnie Norman,homeopathic remedy,California,1556.97,Q2
Douglas Edwards,snake,Texas,9.08,Q2
Birdie Carter,401k,Florida,5114.35,Q2
Nora Gray,401k,Massachusetts,9746.79,Q2
Laura Morrison,beanie baby,Massachusetts,1410.60,Q2
Charlotte Bryan,401k,Florida,700.45,Q2
Cody Duncan,watermelon,Texas,956.37,Q2
Ida Hale,beanie baby,Florida,2687.53,Q2
Irene Webster,watermelon,California,9075.77,Q2
Maude Hoffman,beanie baby,California,3528.16,Q2
Winnie Norman,beanie baby,Florida,4845.65,Q2
Edgar Wilkins,snake,Massachusetts,18.63,Q2
Ina Evans,watermelon,Florida,7384.60,Q2
Jose Harmon,watermelon,California,7812.32,Q2
Antonio Walton,watermelon,Florida,4813.79,Q2
Estella Dawson,401k,New York,1210.36,Q2
Estelle Zimmerman,snake,New York,161.08,Q2
Jeanette Robertson,homeopathic remedy,California,5399.12,Q2
May Webster,watermelon,New York,4887.38,Q2
Isabella Santiago,401k,California,6551.32,Q2
Lelia Bowen,beanie baby,Massachusetts,7723.78,Q2
Mark Parks,beanie baby,Texas,2327.86,Q2
Sophia Wilson,watermelon,New York,4641.49,Q2
May Webster,401k,California,6404.31,Q2
Virgie Walton,watermelon,Texas,630.98,Q2
Gary Griffith,snake,New York,1041.93,Q2
Tom Massey,401k,Florida,9075.04,Q2
Estella Dawson,homeopathic remedy,California,2000.37,Q2
Gertrude Harrington,snake,Florida,103.33,Q2
Iva Holmes,watermelon,Texas,225.58,Q2
Warren Warren,401k,Texas,3761.69,Q2
Irene Webster,homeopathic remedy,Florida,5462.10,Q2
Curtis Cannon,watermelon,Massachusetts,8150.02,Q2
Irene Webster,homeopathic remedy,New York,2430.79,Q2
Nora Brooks,beanie baby,New York,8088.11,Q2
Abbie Jenkins,beanie baby,California,920.03,Q2
Ian Miller,401k,Texas,8475.04,Q2
Angel Reese,snake,Massachusetts,2995.98,Q2
Mae Summers,beanie baby,Texas,1262.84,Q2
Richard Luna,beanie baby,New York,5347.83,Q2
Shane Estrada,snake,New York,7872.33,Q2
Jeff Jennings,401k,Massachusetts,5134.51,Q2
May Webster,beanie baby,Florida,113.06,Q2
Iva Holmes,401k,Florida,7498.52,Q2
Tom Massey,homeopathic remedy,Massachusetts,7703.25,Q2
Caroline Berry,401k,Massachusetts,214.28,Q2
Gary Griffith,401k,California,5288.48,Q2
Mae Summers,homeopathic remedy,Florida,1510.91,Q2
Shawn Martin,snake,Florida,114.91,Q2
Chris Atkins,snake,New York,8001.13,Q2
Ian Miller,401k,California,3.95,Q2
Jose Harmon,beanie baby,Massachusetts,1401.88,Q2
Manuel Boyd,401k,New York,2678.75,Q2
Sarah Massey,beanie baby,Texas,1534.53,Q2
Ricky Burgess,watermelon,California,1643.36,Q2
Cody Duncan,beanie baby,Massachusetts,4006.87,Q2
Stephen Baker,snake,New York,2496.83,Q2
Emily Gardner,beanie baby,Texas,8428.35,Q2
Marguerite Poole,snake,Florida,1920.98,Q2
Ricky Burgess,watermelon,Massachusetts,1358.53,Q2
Rodney Day,homeopathic remedy,New York,2375.55,Q2
Johnny Wagner,401k,Texas,7934.30,Q2
Emma Holmes,snake,Texas,4409.73,Q2
Billy Lucas,401k,New York,7921.30,Q2
Richard Logan,401k,Texas,4979.80,Q2
Irene Webster,snake,Massachusetts,6912.15,Q2
Nettie Copeland,homeopathic remedy,Florida,6645.30,Q2
Laura Morrison,snake,New York,5716.43,Q2
Gary Griffith,homeopathic remedy,Florida,4792.84,Q2
Gilbert Horton,watermelon,Texas,542.22,Q2
Irene Webster,401k,New York,2969.66,Q2
Roxie McCormick,401k,Texas,978.51,Q2
Eva Carter,homeopathic remedy,Texas,7154.96,Q2
Estelle Zimmerman,beanie baby,Texas,5247.56,Q2
Curtis Cannon,watermelon,Massachusetts,7062.26,Q2
Billy Lucas,snake,Florida,200.98,Q2
Genevieve Thornton,401k,Massachusetts,3837.66,Q2
Sophia Wilson,watermelon,Massachusetts,3808.91,Q2
Birdie Simmons,watermelon,Massachusetts,2334.49,Q2
Addie Sutton,401k,California,7428.18,Q2
Theresa Frazier,beanie baby,New York,851.72,Q2
Sophia Wilson,beanie baby,Texas,4384.11,Q2
Maude Hoffman,homeopathic remedy,California,3390.86,Q2
Isabella Santiago,beanie baby,California,2043.19,Q2
Cordelia Washington,401k,California,2917.00,Q2
Edgar Wilkins,snake,California,3.34,Q2
Theresa Frazier,beanie baby,Florida,629.80,Q2
Stephen Baker,401k,New York,1627.23,Q2
Nannie Clarke,401k,Massachusetts,9385.91,Q2
James Green,beanie baby,New York,18.89,Q2
Estelle Zimmerman,snake,New York,5422.18,Q2
Mary Townsend,401k,New York,9314.64,Q2
Ivan Moore,snake,Florida,1693.46,Q2
Edgar Wilkins,beanie baby,New York,3845.69,Q2
Lula Thompson,homeopathic remedy,Texas,9642.21,Q2
Cordelia Washington,snake,Texas,398.53,Q2
Jeremiah Norton,snake,California,0.78,Q2
Nora Gray,snake,Massachusetts,975.39,Q2
Richard Luna,watermelon,Texas,15.49,Q2
Irene Webster,watermelon,Massachusetts,5466.72,Q2
Jose Harmon,beanie baby,New York,1361.22,Q2
Kenneth Hamilton,watermelon,New York,3276.00,Q2
Marguerite Poole,snake,Texas,7581.46,Q2
Ivan Moore,homeopathic remedy,Florida,2293.83,Q2
Emily Gardner,homeopathic remedy,Florida,297.83,Q2
Jesus Hampton,beanie baby,New York,4759.93,Q2
Sarah Massey,homeopathic remedy,New York,322.81,Q2
Lelia Graves,401k,Texas,9064.63,Q2
Ida Ellis,watermelon,New York,3159.75,Q2
Antonio Walton,401k,Florida,4237.82,Q2
Jeremiah Norton,401k,New York,10.42,Q2
Lola Wade,snake,Massachusetts,4788.18,Q2
Antonio Walton,homeopathic remedy,New York,1066.56,Q2
Elmer McLaughlin,beanie baby,Massachusetts,2883.27,Q2
Jeff Jennings,watermelon,California,1373.07,Q2
Theresa Frazier,snake,Florida,4111.60,Q2
Emily Gardner,401k,California,8421.70,Q2
Estella Dawson,watermelon,New York,6089.44,Q2
Lola Wade,snake,California,3548.02,Q2
Cordelia Washington,watermelon,Texas,3422.49,Q2
Iva Holmes,beanie baby,New York,4575.99,Q2
Winnie Norman,snake,California,3562.26,Q2
Nora Gray,snake,Texas,9386.68,Q2
Samuel Yates,401k,Florida,1114.54,Q2
Eleanor Ford,homeopathic remedy,Texas,9280.50,Q2
Jeff Jennings,homeopathic remedy,New York,7268.82,Q2
Kenneth Hamilton,watermelon,New York,938.60,Q2
Amelia Pope,401k,California,1176.98,Q2
Eleanor Patrick,401k,California,5116.48,Q2
Marguerite Poole,homeopathic remedy,Florida,7934.09,Q2
Marguerite Poole,401k,New York,5436.98,Q2
Emily Gardner,watermelon,New York,1320.36,Q2
Mark Parks,snake,California,4275.07,Q2
Alice McGuire,beanie baby,California,63.64,Q2
Eleanor Ford,401k,Texas,6508.95,Q2
Samuel Yates,watermelon,Texas,7999.78,Q2
Josephine Bowen,beanie baby,Texas,4108.52,Q2
Jesus Hampton,401k,New York,1619.64,Q2
Helen Kelly,snake,Florida,602.48,Q2
Eleanor Ford,homeopathic remedy,New York,19.93,Q2
Sarah Massey,watermelon,Texas,2790.36,Q2
Iva Holmes,401k,Massachusetts,9.71,Q2
Georgie West,401k,Massachusetts,1216.93,Q2
James Green,watermelon,California,7065.96,Q2
Ina Evans,watermelon,New York,2034.37,Q2
Edgar Wilkins,watermelon,Florida,926.94,Q2
Chris Atkins,homeopathic remedy,New York,3351.91,Q2
Myrtle Hodges,homeopathic remedy,Massachusetts,6354.71,Q2
Mamie Roy,beanie baby,Texas,8315.96,Q2
Ida Ellis,snake,Florida,504.27,Q2
Abbie Jenkins,homeopathic remedy,Texas,6998.55,Q2
Kenneth Hamilton,homeopathic remedy,California,7550.65,Q2
Hulda Munoz,beanie baby,Florida,1214.32,Q2
Hulda Munoz,watermelon,Texas,528.65,Q2
Abbie Jenkins,watermelon,Florida,1425.96,Q2
Jesus Hampton,beanie baby,Massachusetts,4593.42,Q2
Virgie Walton,401k,California,0.05,Q2
Mamie Roy,beanie baby,Texas,267.26,Q2
Lelia Bowen,watermelon,New York,5502.23,Q2
Virgie Walton,snake,Florida,1019.15,Q2
Tillie Bryant,snake,California,3353.04,Q2
Douglas Edwards,401k,Massachusetts,9564.41,Q2
Ivan Moore,homeopathic remedy,California,3417.85,Q2
Lola Wade,homeopathic remedy,Massachusetts,640.97,Q2
Alejandro Castro,homeopathic remedy,New York,124.08,Q2
Luis Gilbert,watermelon,California,6125.24,Q2
Sophia Wilson,homeopathic remedy,Texas,3838.73,Q2
Manuel Boyd,watermelon,New York,956.09,Q2
Eleanor Patrick,snake,California,875.18,Q2
Douglas Edwards,401k,Florida,5157.14,Q2
Mae Summers,beanie baby,Massachusetts,2277.38,Q2
Charlotte Bryan,401k,New York,6315.44,Q2
Caroline Berry,watermelon,Texas,1801.77,Q2
Mark Parks,snake,California,7552.18,Q2
Nora Brooks,homeopathic remedy,Massachusetts,9729.26,Q2
Ivan Moore,homeopathic remedy,Texas,2903.88,Q2
Winnie Norman,homeopathic remedy,Texas,8889.15,Q2
Tom Massey,401k,Florida,1326.37,Q2
Eleanor Ford,401k,California,9677.87,Q2
Eva Carter,beanie baby,Massachusetts,500.04,Q2
Curtis Cannon,401k,Texas,340.65,Q2
Mamie Roy,401k,Texas,5890.83,Q2
Elmer McLaughlin,snake,New York,8883.65,Q2
Rodney Day,watermelon,New York,3274.17,Q2
Kenneth Hamilton,watermelon,Florida,6909.81,Q2
James Green,watermelon,Florida,5253.29,Q2
Gertrude Harrington,homeopathic remedy,Massachusetts,3100.85,Q2
Jason Park,beanie baby,Massachusetts,1535.04,Q2
Samuel Yates,homeopathic remedy,Massachusetts,4356.78,Q2
Warren Warren,watermelon,New York,3597.61,Q2
Sophia Wilson,snake,New York,616.17,Q2
Jeff Jennings,snake,California,882.73,Q2
Eva Carter,beanie baby,Massachusetts,1805.84,Q2
Isabelle Mills,watermelon,Florida,124.94,Q2
Tom Massey,watermelon,New York,8049.61,Q2
Antonio Walton,homeopathic remedy,Florida,8101.54,Q2
Lola Wade,401k,Florida,5244.82,Q2
Birdie Carter,beanie baby,Texas,6802.55,Q2
Nettie Copeland,homeopathic remedy,California,6210.97,Q2
Ian Miller,watermelon,Massachusetts,172.41,Q2
Amelia Pope,homeopathic remedy,New York,6729.44,Q2
Sally Tucker,beanie baby,New York,125.42,Q2
Lelia Graves,snake,Massachusetts,406.07,Q2
Irene Webster,watermelon,Massachusetts,405.05,Q2
Samuel Yates,401k,California,6180.37,Q2
Shawn Martin,beanie baby,Massachusetts,2097.70,Q2
Jeremiah Norton,beanie baby,California,8873.98,Q2
Estella Dawson,401k,Texas,6169.76,Q2
Birdie Carter,401k,Massachusetts,2211.94,Q2
Genevieve Thornton,snake,California,9315.41,Q2
Lelia Bowen,401k,Massachusetts,19.28,Q2
Helen Kelly,watermelon,Florida,8425.33,Q2
Mae Summers,homeopathic remedy,Florida,5980.98,Q2
Gilbert Horton,watermelon,Texas,2111.23,Q2
Sarah Massey,beanie baby,Texas,9574.18,Q2
Emma Holmes,401k,Massachusetts,7.67,Q2
Alejandro Castro,snake,California,1545.23,Q2
Shawn Martin,watermelon,Texas,4044.18,Q2
Mae Summers,homeopathic remedy,Florida,5248.54,Q2
Ina Evans,401k,New York,1957.31,Q2
Theresa Frazier,401k,California,3827.84,Q2
Bruce Berry,snake,Massachusetts,7826.03,Q2
Addie Sutton,watermelon,Texas,8.00,Q2
Richard Logan,beanie baby,Florida,3952.26,Q2
Jeanette Robertson,snake,New York,286.35,Q2
Iva Holmes,homeopathic remedy,Florida,5684.36,Q2
Alejandro Castro,snake,Texas,24.28,Q2
Gertrude Harrington,snake,California,4125.23,Q2
Sophia Stephens,snake,New York,8706.67,Q2
Gilbert Horton,homeopathic remedy,New York,242.41,Q2
Georgie West,watermelon,New York,2121.63,Q2
Marc Bell,beanie baby,California,9115.41,Q2
Marc Bell,snake,California,4716.92,Q2
Angel Reese,watermelon,Texas,9361.98,Q2
Sophia Wilson,watermelon,Texas,2.99,Q2
Caroline Berry,homeopathic remedy,New York,3434.72,Q2
Jeremiah Norton,homeopathic remedy,Massachusetts,2844.62,Q2
Eleanor Ford,401k,Florida,0.72,Q2
Lelia Graves,homeopathic remedy,New York,2747.20,Q2
Lelia Bowen,beanie baby,Texas,5708.51,Q2
Kenneth Hamilton,homeopathic remedy,Texas,730.14,Q2
Chris Atkins,401k,Florida,40.09,Q2
Billy Lucas,watermelon,California,8038.64,Q2
Birdie Simmons,watermelon,Texas,6549.15,Q2
Bruce Berry,beanie baby,Florida,8593.41,Q2
Sally Tucker,beanie baby,Texas,5582.64,Q2
Jeanette Robertson,watermelon,Massachusetts,7363.62,Q2
Angel Reese,snake,Texas,8588.22,Q2
Gilbert Horton,homeopathic remedy,Massachusetts,2498.67,Q2
Jeff Jennings,401k,Florida,56.98,Q2
Lelia Bowen,snake,Florida,71.28,Q2
Alice McGuire,homeopathic remedy,New York,96.82,Q2
Bruce Berry,beanie baby,Florida,7329.34,Q2
Jeff Jennings,snake,Florida,141.21,Q2
Ivan Moore,homeopathic remedy,New York,2779.93,Q2
Birdie Simmons,homeopathic remedy,New York,2413.83,Q2
Nora Gray,watermelon,Massachusetts,2819.33,Q2
Jesus Hampton,401k,California,61.00,Q2
Tillie Bryant,watermelon,Massachusetts,8551.54,Q2
Troy Ballard,snake,New York,1265.92,Q2
Henrietta Wood,homeopathic remedy,Texas,40.42,Q2
Irene Webster,snake,Massachusetts,6596.37,Q2
Josephine Bowen,watermelon,Florida,4590.55,Q2
Douglas Edwards,homeopathic remedy,Massachusetts,53.30,Q2
Iva Holmes,snake,Massachusetts,1963.23,Q2
Lelia Bowen,snake,Massachusetts,429.69,Q2
Shawn Martin,homeopathic remedy,Texas,6290.23,Q2
Helen Kelly,beanie baby,Florida,6964.49,Q2
Billy Lucas,401k,Massachusetts,494.61,Q2
Alejandro Castro,snake,New York,5091.47,Q2
Emily Gardner,watermelon,California,4062.53,Q2
Marguerite Poole,401k,Massachusetts,86.94,Q2
Eleanor Ford,homeopathic remedy,California,6566.64,Q2
Josephine Bowen,watermelon,New York,4380.38,Q2
Irene Webster,snake,Massachusetts,2621.06,Q2
Lela Harvey,beanie baby,California,9326.96,Q2
Samuel Yates,watermelon,Massachusetts,37.74,Q2
Jeanette Robertson,watermelon,Massachusetts,1614.78,Q2
Gary Griffith,401k,California,4984.90,Q2
Jeanette Robertson,beanie baby,Texas,1680.83,Q2
Viola Watson,beanie baby,Texas,6830.25,Q2
Elmer McLaughlin,snake,Florida,616.62,Q2
Alice McGuire,beanie baby,Texas,818.57,Q2
Laura Morrison,beanie baby,Florida,1241.10,Q2
Tillie Bryant,snake,California,5906.14,Q2
Emma Holmes,401k,Massachusetts,445.19,Q2
Richard Luna,401k,New York,982.93,Q2
Birdie Simmons,homeopathic remedy,California,1025.65,Q2
Rodney Day,snake,Texas,1496.72,Q2
Sophia Stephens,homeopathic remedy,Florida,2662.75,Q2
Isabelle Mills,snake,New York,586.64,Q2
Estelle Zimmerman,homeopathic remedy,Texas,3924.98,Q2
Viola Watson,beanie baby,New York,558.17,Q2
Iva Holmes,homeopathic remedy,New York,6590.00,Q2
Curtis Cannon,beanie baby,California,3295.97,Q2
Johnny Wagner,beanie baby,New York,519.11,Q2
Lelia Graves,snake,California,6482.50,Q2
Tom Massey,401k,Texas,3.94,Q2
Lela Harvey,beanie baby,Florida,284.59,Q2
Ricky Burgess,watermelon,Massachusetts,7478.38,Q2
Lola Wade,homeopathic remedy,New York,2078.62,Q2
Johnny Wagner,beanie baby,New York,0.01,Q2
Lela Harvey,401k,Massachusetts,1799.12,Q2
Lottie Graham,homeopathic remedy,Texas,574.99,Q2
Nannie Clarke,watermelon,New York,1305.51,Q2
Rodney Day,watermelon,California,85.59,Q2
Estelle Zimmerman,snake,Massachusetts,1407.98,Q2
Edgar Wilkins,snake,Massachusetts,73.88,Q2
Rodney Day,watermelon,Texas,158.89,Q2
Winnie Norman,snake,Texas,314.67,Q2
Antonio Walton,homeopathic remedy,Texas,32.28,Q2
Curtis Cannon,homeopathic remedy,Florida,966.18,Q2
Billy Lucas,watermelon,California,176.00,Q2
Birdie Simmons,homeopathic remedy,New York,7770.78,Q2
Cordelia Washington,snake,New York,466.67,Q2
Warren Warren,snake,New York,5646.12,Q2
Troy Ballard,401k,California,2072.29,Q2
Billy Lucas,watermelon,Florida,1812.59,Q2
Charlie West,snake,Massachusetts,6422.54,Q2
Richard Logan,homeopathic remedy,California,2069.95,Q2
Eleanor Ford,401k,Texas,9989.61,Q2
Estella Dawson,watermelon,California,9854.62,Q2
Shane Estrada,401k,Massachusetts,194.75,Q2
Virgie Walton,watermelon,Massachusetts,881.42,Q2
Lela Harvey,beanie baby,Massachusetts,4974.80,Q2
Annie Perkins,homeopathic remedy,Texas,1370.49,Q2
Nora Brooks,401k,Texas,1467.07,Q2
Georgie West,watermelon,Florida,1650.96,Q2
Henrietta Wood,beanie baby,Texas,3177.02,Q2
Roxie McCormick,watermelon,New York,3913.69,Q2
Jose Harmon,401k,New York,3564.95,Q2
Troy Ballard,snake,California,4751.58,Q2
Emily Gardner,401k,California,6671.59,Q2
Angel Reese,beanie baby,Massachusetts,40.91,Q2
Birdie Carter,401k,Massachusetts,190.07,Q2
Stephen Baker,snake,California,615.87,Q2
Nora Gray,beanie baby,New York,2854.10,Q2
Theresa Frazier,snake,Florida,390.67,Q2
Cordelia Washington,401k,New York,495.51,Q2
Gary Griffith,homeopathic remedy,Florida,87.96,Q2
Jeanette Robertson,snake,California,1773.76,Q2
Hulda Munoz,homeopathic remedy,Texas,9991.79,Q2
Myrtle Hodges,401k,New York,913.73,Q2
Birdie Simmons,401k,Texas,1053.98,Q2
Troy Ballard,watermelon,Massachusetts,582.16,Q2
Nora Brooks,beanie baby,Massachusetts,5288.57,Q2
Amelia Pope,401k,Massachusetts,2121.89,Q2
Jose Harmon,snake,New York,3410.23,Q2
Stephen Baker,watermelon,Florida,108.64,Q2
Jeremiah Norton,401k,New York,6906.82,Q2
Nora Gray,watermelon,New York,1133.05,Q2
Curtis Cannon,401k,California,5018.95,Q2
Jeff Jennings,homeopathic remedy,New York,4903.69,Q2
Shawn Martin,homeopathic remedy,Massachusetts,785.84,Q2
Estelle Zimmerman,401k,Massachusetts,7942.95,Q2
Abbie Jenkins,homeopathic remedy,Florida,788.72,Q2
Ida Hale,401k,Massachusetts,9787.59,Q2
Antonio Walton,beanie baby,New York,7008.04,Q2
Amelia Pope,beanie baby,Texas,19.30,Q2
Douglas Edwards,beanie baby,Massachusetts,27.60,Q2
Shawn Martin,homeopathic remedy,Texas,61.56,Q2
Ina Evans,snake,New York,28.93,Q2
Curtis Cannon,beanie baby,New York,2821.07,Q2
Lola Wade,homeopathic remedy,California,5827.04,Q2
Tillie Bryant,beanie baby,Texas,7629.91,Q2
Theresa Frazier,watermelon,New York,347.10,Q2
Jason Park,homeopathic remedy,Florida,211.43,Q2
Angel Reese,homeopathic remedy,New York,6229.53,Q2
Jesus Hampton,homeopathic remedy,Florida,523.88,Q2
James Green,snake,Massachusetts,2668.42,Q2
Jeanette Robertson,snake,New York,3460.12,Q2
Addie Sutton,beanie baby,Florida,1516.73,Q2
Annie Perkins,snake,Massachusetts,6756.45,Q2
Curtis Cannon,homeopathic remedy,New York,138.61,Q2
Shawn Martin,401k,Florida,8260.58,Q2
Samuel Yates,401k,Texas,6235.62,Q2
Ricky Burgess,beanie baby,New York,2900.98,Q2
Amelia Pope,watermelon,Texas,8199.13,Q2
Nora Brooks,snake,Texas,2647.38,Q2
Nora Gray,beanie baby,Massachusetts,4211.35,Q2
Bruce Berry,homeopathic remedy,New York,8170.96,Q2
Chris Atkins,beanie baby,New York,4685.35,Q2
Viola Watson,401k,Massachusetts,4200.55,Q2
Chris Atkins,401k,California,1131.37,Q2
Eleanor Patrick,homeopathic remedy,New York,2312.36,Q2
Manuel Boyd,beanie baby,Florida,4891.25,Q2
Estelle Zimmerman,401k,Massachusetts,586.41,Q2
Helen Kelly,homeopathic remedy,California,9508.01,Q2
Nora Brooks,snake,California,52.84,Q2
Ian Miller,watermelon,New York,7936.44,Q2
Luis Gilbert,homeopathic remedy,Florida,4131.59,Q2
Nelle Alexander,snake,Massachusetts,964.70,Q2
Jason Park,401k,New York,149.98,Q2
Ida Ellis,401k,New York,7301.28,Q2
Marc Bell,watermelon,New York,5998.91,Q2
Elmer McLaughlin,homeopathic remedy,Florida,2707.74,Q2
Sally Tucker,watermelon,Texas,3357.06,Q2
Chris Atkins,beanie baby,Florida,472.53,Q2
Cody Duncan,401k,Massachusetts,2206.15,Q2
Troy Ballard,401k,Florida,7057.27,Q2
Bruce Berry,snake,New York,5733.68,Q2
Lula Thompson,snake,New York,5175.72,Q2
Richard Luna,401k,Massachusetts,3404.99,Q2
Emma Holmes,homeopathic remedy,Florida,3423.13,Q2
Manuel Boyd,401k,Massachusetts,6626.74,Q2
Addie Sutton,homeopathic remedy,Florida,1562.81,Q2
Iva Holmes,401k,New York,83.71,Q2
Lula Thompson,homeopathic remedy,Texas,1155.05,Q2
Addie Sutton,watermelon,California,1668.08,Q2
Viola Watson,401k,Florida,1651.65,Q2
Edgar Wilkins,401k,Massachusetts,1927.52,Q2
Emma Holmes,beanie baby,Massachusetts,2.25,Q2
Mark Parks,snake,California,6943.40,Q2
Nora Brooks,snake,New York,6208.93,Q2
Jesus Hampton,beanie baby,Massachusetts,1139.89,Q2
Rodney Day,beanie baby,New York,268.47,Q2
Winnie Norman,snake,Florida,3087.48,Q2
Hulda Munoz,401k,Massachusetts,0.07,Q2
Josephine Bowen,401k,Texas,484.59,Q2
Lela Harvey,snake,California,9019.50,Q2
Birdie Carter,homeopathic remedy,California,9240.24,Q2
Eleanor Patrick,homeopathic remedy,Texas,7808.17,Q2
Sophia Stephens,homeopathic remedy,New York,456.29,Q2
Irene Webster,snake,California,7085.47,Q2
Alejandro Castro,watermelon,Florida,1876.77,Q2
Birdie Carter,watermelon,Florida,1103.49,Q2
Bruce Berry,homeopathic remedy,California,828.29,Q2
Tom Massey,snake,Texas,8582.16,Q2
Jason Park,snake,Florida,3639.99,Q2
Gertrude Harrington,watermelon,Texas,6971.59,Q2
Manuel Boyd,homeopathic remedy,Florida,9266.47,Q2
Richard Luna,watermelon,California,998.59,Q2
Angel Reese,snake,Texas,7405.84,Q2
Mary Townsend,watermelon,Massachusetts,1799.60,Q2
Winnie Norman,homeopathic remedy,Florida,175.70,Q2
Sally Tucker,watermelon,Texas,8683.58,Q2
Laura Morrison,watermelon,New York,1118.86,Q2
Edgar Wilkins,401k,Texas,9306.09,Q2
Elmer McLaughlin,401k,California,6482.49,Q2
Mae Summers,401k,Massachusetts,8491.19,Q2
Marc Bell,homeopathic remedy,Florida,416.41,Q2
Tom Massey,watermelon,New York,2571.16,Q2
Douglas Edwards,homeopathic remedy,Florida,1253.07,Q2
Viola Watson,snake,Texas,292.80,Q2
Luis Gilbert,watermelon,Florida,5110.05,Q2
Estelle Zimmerman,homeopathic remedy,Florida,12.07,Q2
Estella Dawson,snake,Massachusetts,8104.85,Q2
Warren Warren,homeopathic remedy,Florida,2455.54,Q2
Laura Morrison,watermelon,New York,2678.29,Q2
Mark Parks,401k,California,1022.33,Q2
Troy Ballard,watermelon,New York,1797.27,Q2
Josephine Bowen,snake,Florida,7995.72,Q2
Annie Perkins,beanie baby,Texas,37.52,Q2
Jason Park,snake,Massachusetts,2015.41,Q2
Ida Ellis,snake,New York,2988.18,Q2
Josephine Bowen,snake,Texas,2531.80,Q2
Maude Hoffman,watermelon,Florida,5856.95,Q2
Isabelle Mills,homeopathic remedy,Texas,4.31,Q2
Marguerite Poole,watermelon,New York,793.01,Q2
Sally Tucker,401k,New York,2310.84,Q2
Elmer McLaughlin,snake,New York,7227.39,Q2
Addie Sutton,snake,New York,33.10,Q2
Ivan Moore,watermelon,California,151.81,Q2
Sophia Wilson,watermelon,California,6514.51,Q2
Lottie Graham,beanie baby,Florida,5469.47,Q2
Stephen Baker,401k,New York,3.85,Q2
Warren Warren,homeopathic remedy,New York,6303.60,Q2
Angel Reese,401k,New York,7627.40,Q2
Estella Dawson,watermelon,California,1341.72,Q2
Genevieve Thornton,homeopathic remedy,Florida,6632.62,Q2
Elmer McLaughlin,snake,California,1742.21,Q2
Laura Morrison,snake,New York,5795.51,Q2
Isabella Santiago,beanie baby,New York,4126.66,Q2
Lula Thompson,homeopathic remedy,Texas,9290.13,Q2
Hulda Munoz,homeopathic remedy,Texas,620.47,Q2
Birdie Simmons,beanie baby,Massachusetts,15.85,Q2
Isabella Santiago,snake,Texas,361.53,Q2
Ina Evans,beanie baby,Texas,2144.49,Q2
Troy Ballard,401k,Florida,1491.37,Q2
Iva Holmes,watermelon,New York,502.92,Q2
Theresa Frazier,homeopathic remedy,New York,4905.29,Q2
Addie Sutton,homeopathic remedy,Massachusetts,2505.43,Q2
Jose Harmon,watermelon,Massachusetts,13.33,Q2
Richard Luna,homeopathic remedy,California,149.53,Q2
Ivan Moore,homeopathic remedy,Massachusetts,638.19,Q2
Georgie West,beanie baby,Massachusetts,2768.92,Q2
Marguerite Poole,401k,New York,2757.58,Q2
Tom Massey,401k,Florida,5385.54,Q2
Isabelle Mills,beanie baby,Massachusetts,972.93,Q2
Abbie Jenkins,watermelon,Florida,95.10,Q2
Genevieve Thornton,watermelon,California,8231.68,Q2
Shane Estrada,401k,New York,5229.56,Q2
Mae Summers,homeopathic remedy,California,3276.87,Q2
Billy Lucas,401k,Florida,8057.59,Q2
Richard Logan,snake,Massachusetts,6766.55,Q2
Lola Wade,snake,California,454.86,Q2
Addie Sutton,watermelon,California,9076.56,Q2
Lottie Graham,beanie baby,New York,1478.87,Q2
Eleanor Patrick,401k,Texas,572.22,Q2
Roxie McCormick,homeopathic remedy,California,4824.99,Q2
Irene Webster,401k,Texas,1027.29,Q2
Bruce Berry,snake,Florida,246.37,Q2
Marc Bell,watermelon,Florida,63.02,Q2
Caroline Berry,watermelon,Florida,1643.42,Q2
Bruce Berry,401k,Texas,964.01,Q2
Stephen Baker,snake,Massachusetts,15.24,Q2
Samuel Yates,401k,New York,2291.62,Q2
Irene Webster,homeopathic remedy,Texas,1219.55,Q2
Curtis Cannon,snake,New York,8549.60,Q2
Annie Perkins,watermelon,California,7880.51,Q2
Shawn Martin,beanie baby,Texas,3704.19,Q2
Douglas Edwards,snake,California,2075.91,Q2
Jeanette Robertson,beanie baby,Massachusetts,962.62,Q2
Johnny Wagner,401k,California,1531.49,Q2
Myrtle Hodges,snake,Florida,4112.77,Q2
Gary Griffith,watermelon,Massachusetts,4700.97,Q2
Addie Sutton,401k,Massachusetts,1485.97,Q2
Nora Gray,homeopathic remedy,New York,1362.96,Q2
Alejandro Castro,watermelon,Massachusetts,3411.69,Q2
Sarah Massey,homeopathic remedy,Texas,721.69,Q2
Warren Warren,homeopathic remedy,New York,8688.13,Q2
